Type,Key,Assignee,Priority,Status,Summary,Label
Task,PIX-1,chris@slimshady.me,Medium,To Do,Phase 2A: Route Migration Sprint 2,"architecture, migration"
Task,PIX-2,chris@slimshady.me,Medium,To Do,AI package Ruff cleanup pass,"AI, ai-tooling, maintenance"
Task,PIX-3,chris@slimshady.me,Medium,To Do,Phase 2B: Route Migration Sprint 3,"architecture, migration"
Task,PIX-4,chris@slimshady.me,High,To Do,Hybrid Two-App Architecture Migration,"architecture, migration"
Task,PIX-5,chris@slimshady.me,Low,To Do,Phase 5: Cleanup & Optimization (Sprint 6),"architecture, migration"
Task,PIX-6,chris@slimshady.me,High,To Do,Phase 1: Foundation (Sprint 1),"architecture, migration"
Task,PIX-7,chris@slimshady.me,Medium,To Do,Phase 4: API Extraction (Sprint 5),"architecture, migration"
Task,PIX-8,chris@slimshady.me,Medium,To Do,Phase 3: Auth Consolidation (Sprint 4),"architecture, migration"
Task,PIX-9,chris@slimshady.me,High,In Progress,Test Coverage Baseline - Configure Thresholds,"coverage, testing, type:test"
Task,PIX-10,chris@slimshady.me,High,In Progress,Test Coverage Baseline - Coverage Audit,"coverage, testing, type:test"
Task,PIX-11,chris@slimshady.me,High,In Progress,Test Coverage Baseline - Fix Import Errors,"coverage, testing, type:test"
Task,PIX-12,chris@slimshady.me,Medium,To Do,Test Coverage Baseline - HIPAA Tests (Python),"coverage, security, testing, type:test"
Task,PIX-13,chris@slimshady.me,High,To Do,Test Coverage Baseline (Plan 02),"coverage, security, testing, type:test"
Task,PIX-14,chris@slimshady.me,Medium,To Do,Test Coverage Baseline - HIPAA Tests (TypeScript),"coverage, security, testing, type:test"
Task,PIX-15,chris@slimshady.me,Medium,To Do,Test Coverage Baseline - Security Tests (Python),"coverage, security, testing, type:test"
Task,PIX-16,chris@slimshady.me,Medium,To Do,Test Coverage Baseline - Security Tests (TypeScript),"coverage, security, testing, type:test"
Task,PIX-17,chris@slimshady.me,Low,Done,Tri-sync bootstrap sentinel (completed),"historical, platform"
Task,PIX-18,chris@slimshady.me,Medium,To Do,Consolidate GitLab MR quality lane,"ci-federation, release, release-readiness"
Task,PIX-19,chris@slimshady.me,Low,To Do,Build CI operations dashboard,"ci-federation, release, release-readiness"
Task,PIX-20,chris@slimshady.me,High,In Progress,Blocking gaps remediation: training pipeline blockers,"blocking-gap, data-pipeline"
Task,PIX-21,chris@slimshady.me,High,In Progress,Add branch and path trigger policy,"ci-federation, release, release-readiness"
Task,PIX-22,chris@slimshady.me,Medium,To Do,Consolidate GitHub security lane,"ci-federation, release, release-readiness"
Task,PIX-23,chris@slimshady.me,Medium,To Do,Consolidate Bitbucket AI validation lane,"ci-federation, release, release-readiness"
Task,PIX-24,chris@slimshady.me,High,To Do,Approval checkpoint: ownership and RFC,"ci-federation, release, release-readiness"
Task,PIX-25,chris@slimshady.me,High,To Do,Implement context optimization architecture,platform
Task,PIX-26,chris@slimshady.me,High,To Do,Create pipeline inventory across providers,"ci-federation, release, release-readiness"
Task,PIX-27,chris@slimshady.me,High,To Do,DACT-00: Source Inventory and Licensing Matrix,"acquisition, curation"
Task,PIX-28,chris@slimshady.me,High,Done,Workstream A: Define acquisition rubric and acceptance gates,"acquisition, curation"
Task,PIX-29,chris@slimshady.me,Medium,To Do,Create CI failure auto-ticketing rules,"ci-federation, release, release-readiness"
Task,PIX-30,chris@slimshady.me,High,To Do,DACT-02: Trusted Source Pull v1,"acquisition, curation"
Task,PIX-31,chris@slimshady.me,Medium,Done,Workstream A: Run public-web acquisition pilot,"acquisition, curation"
Task,PIX-32,chris@slimshady.me,High,Done,DACT-04: Normalize and Deduplicate Ingested Data,"acquisition, curation"
Task,PIX-33,chris@slimshady.me,High,Done,DACT-05: PII and Safety Screening,"acquisition, curation"
Task,PIX-34,chris@slimshady.me,Medium,Done,DACT-08: Freeze v1 Training Slice,"acquisition, curation"
Task,PIX-35,chris@slimshady.me,Medium,Done,DACT-06: Stage-Based Dataset Slicing,"acquisition, curation"
Task,PIX-36,chris@slimshady.me,Medium,Done,DACT-07: Human Review and Borderline Decisions,"acquisition, curation"
Task,PIX-37,chris@slimshady.me,High,In Progress,Data Governance - Task 1.1: Governance directory structure and types,"compliance, governance"
Task,PIX-38,chris@slimshady.me,Low,In Progress,Workstream A: Consolidate acquisition report and next backlog,"acquisition, curation"
Task,PIX-39,chris@slimshady.me,High,In Progress,Data Governance - Task 1.2: Core policy engine,"compliance, governance"
Task,PIX-40,chris@slimshady.me,High,In Progress,Data Governance - Task 1.3: MongoDB policy storage with versioning,"compliance, governance"
Task,PIX-41,chris@slimshady.me,Medium,To Do,Data Governance - Task 1.4: Hot-reload capability tests,"compliance, governance"
Task,PIX-42,chris@slimshady.me,Medium,To Do,Data Governance - Task 2.3: Audit integration,"compliance, governance"
Task,PIX-43,chris@slimshady.me,High,To Do,Data Governance - Task 2.1: Pre-flight HIPAA++ compliance checks,"compliance, governance"
Task,PIX-44,chris@slimshady.me,Medium,To Do,Data Governance - Task 2.2: FHE integration tests,"compliance, governance"
Task,PIX-45,chris@slimshady.me,Low,To Do,Data Governance - Task 3.2: Slack webhook notifications,"compliance, governance"
Task,PIX-46,chris@slimshady.me,Medium,To Do,Data Governance - Task 3.1: Unified event aggregation,"compliance, governance"
